	P3-1	P3-2	P3-3	P3-4	P3-5	P3-6	P3-7	P3-8	P3-9	P3-10
E7EX29	1.4119498262259003	1.077255169386408	1.5066679481362601	6.279537099183172	9.908018664906544	106.24991272706055	1.8269720710045863	28.19616454924163	17.59979366709562	62.439599297350334
P62191	4.534667196148435	3.9548896017730275	1.4524529987997128	0.8248626074118802	4.92440842021137	20.42460761795157	13.567772945329388	48.68621738576235	2.7497026695242406	20.97609815216256
Q99460	1.374300202466562	7.240429582731403	3.8792164154558924	4.843044018388484	1.2546942587912449	15.02996944177327	3.9805839232032856	12.951467473475411	24.770832968450783	11.440493067039592
P52209	3.0903700716000193	10.01328014050989	6.800825258688566	9.944007652818351	10.369778013858744	22.757106047063306	29.023128694560924	5.28299170635663	11.473567038665173	51.81566082873735
P08253	0.4951153952283354	10.334192495886183	5.700479463642699	0.016960845095921107	6.296668584313039	10.94645761767363	12.22646824319501	22.79365897201249	50.67339612845214	73.26723295251718
P27338	20.677789366332657	2.5413440604555686	13.46962228620768	20.323038790932458	3.2014010281682985	8.070346310764243	22.4500120843213	7.045746635080643	2.356877055121595	10.411135342394093
P15144	4.0602897399942774	0.6139517936441352	9.11824555629716	1.4926548943263842	5.373793499911692	72.61276496298089	31.92959799831783	3.5337478852633892	24.640070846271552	9.49133075788094
P05067	4.5258557965952315	14.90993545254855	12.46730077664175	9.875598096205724	3.969989916268783	3.5542910364236513	40.0211738430997	25.8930211709616	12.282183624166889	29.672328362606056
Q9UJX5	2.589166587010871	2.0376426972872372	9.287619542906974	10.604522225055584	1.0216101804367903	56.12437134898508	2.7798202793170113	6.522155097160391	23.164263223157057	28.44616933679785
Q8N302	17.60702498457546	0.7025318274806664	0.6973038455257163	8.21032979013304	15.946122324051062	17.93078733739478	20.96072741312956	6.563282792326981	0.4688183146929755	49.77874209433766
P03950	3.3209844232026087	0.8174685838098793	0.33844986803035904	6.544203843531732	2.7089260847020444	35.22782781639896	24.96105729693624	6.3631868559409	13.107492411863515	1.952940750202287
Q9Y5C1	17.046417651745877	4.243379577664804	3.4173024335809816	9.520866360669608	7.044588279237124	2.9932930865123506	4.37474024918986	21.217480925068582	19.8027964192813	107.47202042468736
